PROTEIN,TYPE,GENE
K11900,BTHA,DR62_3408 DR62_4356 DR62_5034 DR62_5178 DR62_833
K11900,BTHL,BG87_3612 BG87_4639 BG87_5243 BG87_5384 BG87_921
K11900,BOK,DM82_2785 DM82_4619 DM82_5811
K11900,BOC,BG90_1925 BG90_4288 BG90_4820 BG90_5972
K11900,BUT,X994_3033 X994_4102 X994_4584 X994_4960 X994_5618
K11900,BVI,Bcep1808_0461 Bcep1808_4431 Bcep1808_5147
K11900,BVE,AK36_352 AK36_3746
K11900,BUR,Bcep18194_A3560 Bcep18194_B0981 Bcep18194_B1587
K11900,BCN,Bcen_2638
K11900,BCH,Bcen2424_0468
K11900,BCM,Bcenmc03_0446
K11900,BCJ,BCAL0342
K11900,BCEN,DM39_283 DM39_5889 DM39_6841
K11900,BCEW,DM40_1188 DM40_4769
K11900,BCEO,I35_0333 I35_4158(evpB)
K11900,BAM,Bamb_0382 Bamb_3475
K11900,BAC,BamMC406_0403 BamMC406_3027 BamMC406_3650 BamMC406_6674
K11900,BMU,Bmul_2929 Bmul_3908
K11900,BMJ,BMULJ_00305
K11900,BMK,DM80_1212 DM80_5229
K11900,BMUL,NP80_4701 NP80_505
K11900,BCT,GEM_3043 GEM_4209
K11900,BCED,DM42_1365
K11900,BDL,AK34_2664 AK34_3158 AK34_3970
K11900,BPYR,ABD05_07975 ABD05_17820
K11900,BCON,NL30_04705 NL30_20120 NL30_34485
K11900,BXE,Bxe_A2094
K11900,BXB,DR64_4249
K11900,BPH,Bphy_5979 Bphy_6113
K11900,BPY,Bphyt_0940 Bphyt_4914
K11900,BGL,bglu_1g03900 bglu_2g01430 bglu_2g02130 bglu_2g11040
K11900,BGP,BGL_1c03590(hsiC1) BGL_1c13350(hsiC2) BGL_2c02820(hsiC1)
K11900,BGU,KS03_1316 KS03_3434 KS03_3499 KS03_4816
K11900,BUG,BC1001_0180 BC1001_5638
K11900,BGE,BC1002_4287 BC1002_5445 BC1002_6253
K11900,BGF,BC1003_0516 BC1003_4200 BC1003_5736
K11900,BGD,bgla_1g04110 bgla_2g03890 bgla_4p2400
K11900,BGO,BM43_1798 BM43_7144
K11900,BYI,BYI23_C000100 BYI23_C001880 BYI23_C003610(evpB) BYI23_C010230(evpB) BYI23_D001540
K11900,BUK,MYA_0392 MYA_4074 MYA_4721 MYA_5765
K11900,BPX,BUPH_01741 BUPH_06122
K11900,BUO,BRPE64_ACDS03350 BRPE64_CCDS00920 BRPE64_CCDS04730
K11900,BUE,BRPE67_CCDS00700(evpB) BRPE67_CCDS08590(evpB) BRPE67_CCDS10340
K11900,BUL,BW21_4445 BW21_5026 BW21_543 BW21_5977
K11900,BUB,BW23_1269 BW23_4471 BW23_4513 BW23_4875 BW23_5248
K11900,BFN,OI25_2677 OI25_4180 OI25_5918
K11900,PPUL,RO07_20945
K11900,BPA,BPP0715
K11900,BBR,BB0801
K11900,BBM,BN115_0770
K11900,BBH,BN112_2639
K11900,BBX,BBS798_0774
K11900,BPT,Bpet2447 Bpet4116
K11900,BAV,BAV0266
K11900,BHZ,ACR54_00319
K11900,AXY,AXYL_05692 AXYL_06396
K11900,AXO,NH44784_051351
K11900,AXN,AX27061_3275
K11900,AXS,LH59_15455
K11900,TEQ,TEQUI_0719
K11900,TEA,KUI_0093
K11900,TEG,KUK_1107
K11900,TAS,TASI_0093
K11900,TAT,KUM_1248
K11900,PUT,PT7_0344 PT7_2340
K11900,AKA,TKWG_23560
K11900,AMIM,MIM_c38070
K11900,AAV,Aave_1477
K11900,AAA,Acav_1516
K11900,DAC,Daci_3851
K11900,DEL,DelCs14_2972
K11900,VAP,Vapar_0194 Vapar_0549
K11900,VPE,Varpa_0585 Varpa_2900 Varpa_3275 Varpa_5533
K11900,VPD,VAPA_1c02290 VAPA_1c06250
K11900,JAG,GJA_2557 GJA_5385
K11900,HSE,Hsero_0742 Hsero_4036
K11900,CFU,CFU_0073(impC)
K11900,CARE,LT85_2322(impC) LT85_3550(impC)
K11900,MNR,ACZ75_00175
K11900,LCH,Lcho_4090
K11900,RGE,RGE_25750 RGE_30350
K11900,AZO,azo1304 azo3896(sciI)
K11900,AZA,AZKH_1759
K11900,AZI,AzCIB_3235
K11900,DAR,Daro_2176
K11900,HHE,HH0247
K11900,HCP,HCN_1425
K11900,HCB,HCBAA847_1597(evpB)
K11900,CJL,PJ17_05120
K11900,CCO,CCC13826_1182
K11900,CLM,UPTC16712_0880
K11900,CLN,UPTC3659_1093
K11900,CPEL,CPEL_0983
K11900,CSM,CSUB8521_1046
K11900,CSF,CSUB8523_1152
K11900,ANT,Arnit_1743
K11900,ARC,ABLL_2189
K11900,GSU,GSU3173(tssC)
K11900,GSK,KN400_3112(tssC)
K11900,GME,Gmet_0279(tssC)
K11900,GBM,Gbem_3042(tssC)
K11900,GEM,GM21_1208
K11900,GEB,GM18_3030
K11900,GPI,GPICK_01920
K11900,GSB,GSUB_05410
K11900,PCA,Pcar_2815(tssC)
K11900,DES,DSOUD_3255(tssC)
K11900,DSA,Desal_0419
K11900,DAF,Desaf_2241
K11900,DHY,DESAM_21880 DESAM_21892
K11900,DSF,UWK_02690 UWK_02704
K11900,MXA,MXAN_4808
K11900,MFU,LILAB_32000
K11900,MSD,MYSTI_03175 MYSTI_04770
K11900,CCX,COCOR_04142
K11900,SUR,STAUR_1806
K11900,AGE,AA314_03863 AA314_05723 AA314_08441
K11900,SCL,sce4981 sce9341
K11900,SCU,SCE1572_08595 SCE1572_30305
K11900,CCRO,CMC5_030530(evpB) CMC5_077620(evpB)
K11900,SAMY,DB32_005974
K11900,HOH,Hoch_3044
K11900,PACA,ID47_00610
K11900,CAQ,IM40_06850
K11900,MLO,mlr2338
K11900,MCI,Mesci_6387
K11900,SFD,USDA257_c28610
K11900,ATU,Atu4341(impC)
K11900,ATF,Ach5_45080(impC)
K11900,AVI,Avi_6050(impC)
K11900,AGR,AGROH133_09377
K11900,REC,RHECIAT_PB0000215 RHECIAT_PC0000941
K11900,REL,REMIM1_PF00473
K11900,REI,IE4771_PD00446 IE4771_PD00620
K11900,REP,IE4803_PB00305 IE4803_PC00434 IE4803_PC00609
K11900,RLE,pRL120473(impC)
K11900,RLB,RLEG3_07670
K11900,RLU,RLEG12_10690
K11900,RGA,RGR602_PC01395 RGR602_PC01606
K11900,NGG,RG540_PA11470(tssC)
K11900,BJA,bll3593
K11900,BJU,BJ6T_33620
K11900,BJP,RN69_16300
K11900,AZC,AZC_2600
K11900,MNO,Mnod_3040
K11900,MSL,Msil_2361
K11900,CHEL,AL346_04560
K11900,RSP,RSP_3478
K11900,RSH,Rsph17029_3122
K11900,RSK,RSKD131_3643
K11900,JAN,Jann_3026
K11900,PDE,Pden_2444
K11900,PAMI,JCM7686_pAMI6p159
K11900,PSF,PSE_1857(evpB) PSE_2853 PSE_2861(sciI)
K11900,LMD,METH_23470
K11900,SSAN,NX02_18545
K11900,ACR,Acry_3071 Acry_3072
K11900,AMV,ACMV_34170
K11900,AZL,AZL_017880 AZL_a01710 AZL_a05020
K11900,ALI,AZOLI_1009
K11900,ABS,AZOBR_p1140132
K11900,ABQ,ABAZ39_21810 ABAZ39_29720
K11900,TMO,TMO_a0088
K11900,ACM,AciX9_4004
K11900,GMA,AciX8_2876
K11900,TSA,AciPR4_1083
K11900,SUS,Acid_0232
K11900,GAU,GAU_3871
K11900,GBA,J421_5468
K11900,RBA,RB9690
K11900,PSL,Psta_1832
K11900,PBS,Plabr_1736
K11900,SACI,Sinac_2410
K11900,NDE,NIDE1978
K11900,LFC,LFE_2274
K11901,ECE,Z0264
K11901,ECS,ECs0233
K11901,ECF,ECH74115_0247
K11901,ETW,ECSP_0236
K11901,ELX,CDCO157_0230
K11901,EOI,ECO111_0234
K11901,EOH,ECO103_0228 ECO103_3357
K11901,EOK,G2583_0240
K11901,ELR,ECO55CA74_01135
K11901,ECC,c3385
K11901,ECP,ECP_0238 ECP_2800
K11901,ECI,UTI89_C0251 UTI89_C3190
K11901,ECV,APECO1_1758(aec17) APECO1_3718
K11901,ECX,EcHS_A0239
K11901,ECW,EcE24377A_0241 EcE24377A_3123
K11901,ECY,ECSE_0229
K11901,ECR,ECIAI1_0242
K11901,ECQ,ECED1_0239
K11901,ECK,EC55989_0233 EC55989_3298 EC55989_3340
K11901,EUM,ECUMN_0228
K11901,ECZ,ECS88_0246 ECS88_3083
K11901,ELO,EC042_0224 EC042_4524 EC042_4562
K11901,ELN,NRG857_01150 NRG857_13785
K11901,ELH,ETEC_3925
K11901,ESE,ECSF_2605
K11901,ESO,O3O_04965 O3O_21290 O3O_21365
K11901,ESM,O3M_04325 O3M_04400 O3M_20315
K11901,ESL,O3K_04285 O3K_04355 O3K_20415
K11901,EKO,EKO11_0954 EKO11_3689
K11901,EKF,KO11_01115 KO11_08885
K11901,EAB,ECABU_c30880
K11901,EIH,ECOK1_0235 ECOK1_3193
K11901,ENA,ECNA114_2854
K11901,ELU,UM146_02495 UM146_16165
K11901,EUN,UMNK88_242
K11901,ELW,ECW_m0232(etsS) ECW_m3028
K11901,ELL,WFL_01115 WFL_14775
K11901,ELC,i14_3107
K11901,ELD,i02_3107
K11901,ELF,LF82_027 LF82_426
K11901,ECOL,LY180_01150 LY180_14315
K11901,ECOI,ECOPMV1_00240 ECOPMV1_03075
K11901,ECOJ,P423_15395
K11901,EFE,EFER_1976
K11901,STY,STY0297
K11901,STT,t2588
K11901,SEX,STBHUCCB_27430
K11901,SENT,TY21A_13145
K11901,STM,STM0273
K11901,SEO,STM14_0320
K11901,SEV,STMMW_02731
K11901,SEY,SL1344_0267(sciH)
K11901,SEM,STMDT12_C02690
K11901,SEJ,STMUK_0275
K11901,SEB,STM474_0284
K11901,SEF,UMN798_0297(sciH)
K11901,SETU,STU288_13380
K11901,SETC,CFSAN001921_16035
K11901,SEEN,SE451236_07385
K11901,SENR,STMDT2_02681(sciH)
K11901,SEND,DT104_02711(sciH)
K11901,SENI,CY43_01370
K11901,SPT,SPA2493
K11901,SEK,SSPA2327
K11901,SEI,SPC_0283
K11901,SEC,SC0268
K11901,SEH,SeHA_C0311
K11901,SHB,SU5_0915
K11901,SENH,CFSAN002069_07780
K11901,SEEH,SEEH1578_10455
K11901,SEE,SNSL254_A0299
K11901,SENN,SN31241_12630
K11901,SEW,SeSA_A0305
K11901,SEA,SeAg_B1111
K11901,SENS,Q786_05185
K11901,SED,SeD_A0296 SeD_A1231
K11901,SEG,SG1042
K11901,SEL,SPUL_1903
K11901,SEGA,SPUCDC_1889
K11901,SEEC,CFSAN002050_07910
K11901,SEEP,I137_08630
K11901,SENE,IA1_01455
K11901,SENC,SEET0819_08300
K11901,SES,SARI_02633 SARI_02734
K11901,SBG,SBG_1238
K11901,SBZ,A464_1429
K11901,SBV,N643_05905 N643_13480
K11901,YPE,YPO0500 YPO0978 YPO1465 YPO2939 YPO3707
K11901,YPK,y0037 y1545 y2706 y3369 y3675
K11901,YPA,YPA_0037 YPA_0284 YPA_0759 YPA_2130 YPA_4095
K11901,YPN,YPN_0034 YPN_0375 YPN_1442 YPN_2514 YPN_3176
K11901,YPM,YP_1356 YP_2757 YP_3068 YP_3461 YP_3679
K11901,YPP,YPDSF_0193 YPDSF_0538 YPDSF_1511 YPDSF_2047 YPDSF_3134
K11901,YPG,YpAngola_A0176 YpAngola_A0763 YpAngola_A2871 YpAngola_A2978 YpAngola_A3905
K11901,YPZ,YPZ3_0485 YPZ3_0756 YPZ3_1334 YPZ3_2587 YPZ3_3269
K11901,YPT,A1122_00090 A1122_02585 A1122_07335 A1122_11280 A1122_18600
K11901,YPD,YPD4_0437 YPD4_0712 YPD4_1300 YPD4_2573 YPD4_3261
K11901,YPX,YPD8_0438 YPD8_0711 YPD8_1286 YPD8_2568 YPD8_3259
K11901,YPH,YPC_0045 YPC_0818 YPC_1459 YPC_2692 YPC_4012
K11901,YPW,CH59_1361 CH59_1619 CH59_3135 CH59_374 CH59_886
K11901,YPJ,CH55_1074 CH55_2242 CH55_2853 CH55_3563 CH55_4140
K11901,YPV,BZ15_2087 BZ15_2596 BZ15_3071 BZ15_4029 BZ15_592
K11901,YPL,CH46_1380 CH46_2166 CH46_3660 CH46_414 CH46_4168
K11901,YPS,YPTB0641 YPTB1483 YPTB2666 YPTB3252 YPTB3638
K11901,YPO,BZ17_1034 BZ17_1916 BZ17_2960 BZ17_3358 BZ17_3972
K11901,YPI,YpsIP31758_0313 YpsIP31758_0726 YpsIP31758_0777 YpsIP31758_1367 YpsIP31758_2511 YpsIP31758_3436
K11901,YPY,YPK_0386 YPK_0798 YPK_1479 YPK_2600 YPK_3565
K11901,YPB,YPTS_0664 YPTS_1590 YPTS_2763 YPTS_3386 YPTS_3822
K11901,YPQ,DJ40_1728 DJ40_2768 DJ40_3186 DJ40_3247 DJ40_3877 DJ40_738
K11901,YPU,BZ21_1963 BZ21_2531 BZ21_2960 BZ21_4023 BZ21_819
K11901,YPR,BZ20_1454 BZ20_2469 BZ20_2863 BZ20_2909 BZ20_3543 BZ20_486
K11901,YPC,BZ23_1097 BZ23_117 BZ23_2247 BZ23_2813 BZ23_3248
K11901,YPF,BZ19_2030 BZ19_2610 BZ19_2658 BZ19_3109 BZ19_4143 BZ19_918
K11901,YEN,YE2691
K11901,YEP,YE105_C1596
K11901,YEY,Y11_15701
K11901,YEL,LC20_00896 LC20_00900
K11901,YEW,CH47_2039
K11901,YET,CH48_3193
K11901,YEF,FORC2_2668
K11901,YEE,YE5303_31191
K11901,YSI,BF17_05875 BF17_11485 BF17_22815
K11901,YAL,AT01_1881 AT01_4076
K11901,YFR,AW19_2470 AW19_2529
K11901,YIN,CH53_2548 CH53_3407
K11901,YKR,CH54_3258 CH54_3316
K11901,YRO,CH64_1906 CH64_3132
K11901,YAK,ACZ76_05540
K11901,SSN,SSON_0254
K11901,SSJ,SSON53_01290
K11901,ECA,ECA3445
K11901,PATR,EV46_17060
K11901,PATO,GZ59_34600
K11901,PCT,PC1_3255
K11901,PCC,PCC21_032420
K11901,PCV,BCS7_04295 BCS7_14610 BCS7_16400
K11901,PWA,Pecwa_1070 Pecwa_2461
K11901,PEC,W5S_0962 W5S_2434
K11901,ETA,ETA_06170
K11901,EPY,EpC_06210
K11901,EPR,EPYR_00652
K11901,EAM,EAMY_3021 EAMY_3228
K11901,EAY,EAM_0367 EAM_0578
K11901,EBI,EbC_04050 EbC_05830
K11901,ERJ,EJP617_04780
K11901,PLU,plu0372 plu2301 plu3262
K11901,PAY,PAU_00288 PAU_02282 PAU_03061 PAU_03790 PAU_03838
K11901,PTT,VY86_00080 VY86_03325 VY86_10130 VY86_11360 VY86_11880 VY86_19645
K11901,ENT,Ent638_2916
K11901,ENC,ECL_01539(impB) ECL_01801(impB)
K11901,ENO,ECENHK_13215 ECENHK_15895
K11901,ECLO,ENC_07240 ENC_08900
K11901,EEC,EcWSU1_02691
K11901,ENL,A3UG_02725 A3UG_12220 A3UG_13465
K11901,ECLA,ECNIH3_09175 ECNIH3_11475 ECNIH3_12570
K11901,ECLC,ECR091_09150 ECR091_11415 ECR091_12505
K11901,ECLG,EC036_23200 EC036_26040
K11901,ECLE,ECNIH2_12215 ECNIH2_13055
K11901,ECLN,ECNIH4_06855 ECNIH4_09770
K11901,ECLI,ECNIH5_09165 ECNIH5_10350 ECNIH5_12515
K11901,ECLX,LI66_11955 LI66_12875
K11901,ECLY,LI62_13785 LI62_14560
K11901,ECLZ,LI64_11790 LI64_12610
K11901,EAS,Entas_1919 Entas_3860 Entas_4627
K11901,EAU,DI57_03330 DI57_06005
K11901,EAE,EAE_19410 EAE_20765 EAE_22005
K11901,EAR,CCG29532 CCG29741 CCG30004
K11901,ENR,H650_00785 H650_11260
K11901,ESA,ESA_02043 ESA_03942 ESA_pESA3p05491
K11901,CSK,ES15_2198(impB1) ES15_2819 ES15_3846(impB2)
K11901,CSZ,CSSP291_09685 CSSP291_18220
K11901,CSI,P262_00052 P262_03177
K11901,CSJ,CSK29544_00875 CSK29544_03333
K11901,CCON,AFK62_00410 AFK62_14155
K11901,CTU,CTU_00710 CTU_19280
K11901,KPN,KPN_01322
K11901,KPU,KP1_2392
K11901,KPM,KPHS_22970
K11901,KPP,A79E_2840 A79E_2863
K11901,KPK,A593_21445
K11901,KPH,KPNIH24_16720
K11901,KPZ,KPNIH27_11105
K11901,KPV,KPNIH29_11375
K11901,KPW,KPNIH30_11970
K11901,KPY,KPNIH31_11025
K11901,KPG,KPNIH32_11810
K11901,KPC,KPNIH10_11515
K11901,KPQ,KPR0928_11525
K11901,KPT,VK055_1107(impB) VK055_1132
K11901,KPE,KPK_3069
K11901,KPO,KPN2242_09750
K11901,KPR,KPR_2378
K11901,KPJ,N559_2931
K11901,KPI,D364_06875
K11901,KPA,KPNJ1_03105
K11901,KPS,KPNJ2_03100
K11901,KPX,PMK1_03720
K11901,KPB,FH42_02895
K11901,KPNE,KU54_014690
K11901,KPNU,LI86_14625
K11901,KVA,Kvar_2975
K11901,KVD,KR75_19315
K11901,KVQ,SP68_00200 SP68_00325
K11901,KOX,KOX_18775 KOX_22535 KOX_26055
K11901,KOE,A225_2626 A225_3380 A225_4110
K11901,KOY,J415_11595 J415_18840
K11901,KOK,KONIH1_12865 KONIH1_16570
K11901,KOM,HR38_17140 HR38_20835 HR38_24185
K11901,KMI,VW41_06610
K11901,CRO,ROD_27761(cts1S) ROD_34171(cts2S)
K11901,CFD,CFNIH1_02200 CFNIH1_08885
K11901,CAMA,F384_16435
K11901,SPE,Spro_1783 Spro_3003
K11901,SMAF,D781_1676 D781_2777
K11901,SMW,SMWW4_v1c30140(impB) SMWW4_v1c31600(tssB)
K11901,SMAR,SM39_2477
K11901,SMAC,SMDB11_2258
K11901,SERF,L085_12845 L085_13780
K11901,SERS,SERRSCBI_14520 SERRSCBI_15235
K11901,SFW,WN53_18535
K11901,SFO,Z042_08000 Z042_15475 Z042_16075
K11901,PMR,PMI0749
K11901,PMIB,BB2000_0821(tssA)
K11901,EIC,NT01EI_2737
K11901,ETR,ETAE_2429
K11901,ETD,ETAF_2199(evpA)
K11901,ETE,ETEE_0461(evpA) ETEE_3973(evpA) ETEE_4106(evpA)
K11901,ETC,ETAC_09445 ETAC_11500
K11901,EDW,QY76_08200 QY76_10040 QY76_10700
K11901,EDL,AAZ33_09745 AAZ33_10390 AAZ33_12680
K11901,DDC,Dd586_1290
K11901,DDD,Dda3937_00817
K11901,DZE,Dd1591_2807
K11901,DZC,W909_06570
K11901,XBO,XBJ1_0263 XBJ1_2103
K11901,XBV,XBW1_0237
K11901,XNE,XNC1_2525 XNC1_4553
K11901,XNM,XNC2_2426 XNC2_4399
K11901,XDO,XDD1_1891 XDD1_2037 XDD1_3765
K11901,XPO,XPG1_0225 XPG1_1839
K11901,PAM,PANA_2366 PANA_4151
K11901,PLF,PANA5342_1728
K11901,PAJ,PAJ_1667 PAJ_p0135
K11901,PAQ,PAGR_g1662
K11901,PVA,Pvag_1028
K11901,PAO,Pat9b_2518 Pat9b_3466
K11901,KLN,LH22_10065
K11901,PANT,PSNIH1_03585
K11901,PANP,PSNIH2_15055
K11901,RAH,Rahaq_4563 Rahaq_4917
K11901,RAQ,Rahaq2_4863 Rahaq2_4987
K11901,RAA,Q7S_23336 Q7S_25121
K11901,PSI,S70_09610
K11901,PSX,DR96_1260
K11901,EBT,EBL_c11480
K11901,RON,TE10_17875
K11901,CNT,JT31_02215
K11901,CEM,LH23_10730 LH23_15945
K11901,CEN,LH86_15025
K11901,CED,LH89_05225
K11901,PGE,LG71_05660 LG71_07970 LG71_15800 LG71_22710
K11901,HAV,AT03_05110 AT03_08715
K11901,KSA,C813_01450 C813_19200
K11901,KIN,AB182_15195 AB182_20665
K11901,PFQ,QQ39_05620 QQ39_08340 QQ39_14885
K11901,EBF,D782_3634
K11901,PSTS,E05_34740
K11901,AAP,NT05HA_1851
K11901,XCV,XCV2120 XCV4243
K11901,XAC,XAC4147
K11901,XCI,XCAW_00152
K11901,XCT,J151_04325
K11901,XCU,J159_04274
K11901,XCN,J169_04322
K11901,XCW,J162_04280
K11901,XCR,J163_04274
K11901,XCM,J164_04275
K11901,XCF,J172_04315
K11901,XCJ,J158_04278
K11901,XFU,XFF4834R_chr40160
K11901,XAX,XACM_2098 XACM_4015
K11901,XAO,XAC29_20870
K11901,XOO,XOO3052 XOO3481
K11901,XOM,XOO_2906 XOO_3294
K11901,XOP,PXO_00266 PXO_02045(evpA)
K11901,XOY,AZ54_06395 AZ54_08705
K11901,XOR,XOC_1353 XOC_2544
K11901,XOZ,BE73_12305 BE73_16545
K11901,XTN,FD63_06430 FD63_13815
K11901,FAU,Fraau_1784
K11901,DJA,HY57_13765
K11901,VCH,VCA0107
K11901,VCF,IR04_00470
K11901,VCE,Vch1786_II0901
K11901,VCJ,VCD_000137
K11901,VCO,VC0395_0031 VC0395_0032
K11901,VCM,VCM66_A0105
K11901,VCI,O3Y_13973
K11901,VCL,VCLMA_B0095
K11901,VCQ,EN18_04260
K11901,VCS,MS6_A0090
K11901,VCX,VAA049_1801
K11901,VCZ,VAB027_922
K11901,VVU,VV2_0437
K11901,VVY,VVA0987
K11901,VVM,VVMO6_03907
K11901,VVL,VV93_v1c39300(impB)
K11901,VPA,VP1402 VPA1035
K11901,VPB,VPBB_1317 VPBB_A0941
K11901,VPK,M636_04570 M636_14830
K11901,VPF,M634_23095
K11901,VPH,VPUCM_20942
K11901,VHA,VIBHAR_05863
K11901,VCA,M892_22405
K11901,VAG,N646_3986 N646_4406
K11901,VSP,VS_1332 VS_II0997
K11901,VEX,VEA_000020 VEA_000441
K11901,VFU,vfu_B00793 vfu_B01176
K11901,VNI,VIBNI_A1435 VIBNI_B0337
K11901,VAN,VAA_02833 VAA_03038
K11901,LAG,N175_07345 N175_17340
K11901,VAU,VANGNB10_cI1489c(vasQ-1)
K11901,VCY,IX92_06620 IX92_19590
K11901,VCT,JV59_19710 JV59_31905
K11901,VTU,IX91_04960 IX91_07170 IX91_23760
K11901,VFI,VF_1004
K11901,VFM,VFMJ11_1087 VFMJ11_A0823
K11901,VSA,VSAL_I1124(vasQ) VSAL_I1171(vasQ-1)
K11901,AWD,AWOD_II_0111 AWOD_II_1025(vasQ-1) AWOD_I_0994(vasQ)
K11901,PPR,PBPRA0666
K11901,PAE,PA0083 PA1657 PA2365
K11901,PAEV,N297_1703 N297_2439 N297_89
K11901,PAEI,N296_1703 N296_2439 N296_89
K11901,PAU,PA14_01010 PA14_34070 PA14_43040
K11901,PAP,PSPA7_0155 PSPA7_2896 PSPA7_3615
K11901,PAG,PLES_00841 PLES_29381 PLES_36701
K11901,PAF,PAM18_0085 PAM18_2676 PAM18_3389
K11901,PNC,NCGM2_0087 NCGM2_2555 NCGM2_3375
K11901,PAEB,NCGM1900_0080 NCGM1900_4165 NCGM1900_4910
K11901,PDK,PADK2_00435 PADK2_13445 PADK2_17420
K11901,PSG,G655_00425 G655_13225 G655_16900
K11901,PRP,M062_00430 M062_08820 M062_12330
K11901,PAER,PA1R_gp0165 PA1R_gp3597 PA1R_gp5238
K11901,PAEM,U769_00440 U769_13410 U769_17455 U769_22685
K11901,PAEL,T223_00430 T223_15025 T223_18785
K11901,PAES,SCV20265_0085 SCV20265_2953 SCV20265_3754
K11901,PAEU,BN889_00130 BN889_01773(impB3) BN889_02589(impB)
K11901,PAEG,AI22_03470 AI22_16255 AI22_20060
K11901,PAEC,M802_1700 M802_2436 M802_89
K11901,PAEO,M801_1702 M801_89
K11901,PPU,PP_2624 PP_3100 PP_4074
K11901,PPF,Pput_2127 Pput_2622
K11901,PPG,PputGB1_2764 PputGB1_3224
K11901,PPW,PputW619_2510 PputW619_3261
K11901,PPT,PPS_2836
K11901,PPB,PPUBIRD1_3066
K11901,PPI,YSA_00327 YSA_10471
K11901,PPX,T1E_0054 T1E_0411 T1E_2459
K11901,PPUH,B479_14090 B479_17365
K11901,PPUN,PP4_24550
K11901,PPUD,DW66_3093
K11901,PFV,Psefu_0252
K11901,PMON,X969_13570
K11901,PMOT,X970_13215
K11901,PMOS,O165_025325
K11901,PPJ,RK21_01109 RK21_01827
K11901,PST,PSPTO_2543 PSPTO_5433
K11901,PSB,Psyr_4953
K11901,PSYR,N018_10895 N018_25020
K11901,PSP,PSPPH_0134
K11901,PCI,PCH70_21160 PCH70_23990 PCH70_25790
K11901,PFL,PFL_6087(tssB)
K11901,PPRC,PFLCHA0_c60460
K11901,PPRO,PPC_6040(tssB-2)
K11901,PFO,Pfl01_3406 Pfl01_5595
K11901,PFS,PFLU_3548 PFLU_6019
K11901,PFE,PSF113_2417(impB) PSF113_5798(impB2) PSF113_5828(impB3)
K11901,PFC,PflA506_2408(tssB2) PflA506_2691 PflA506_5301(tssB1)
K11901,PFN,HZ99_05025
K11901,PFW,PF1751_v1c29860(tssB) PF1751_v1c54320(tssB)
K11901,PFB,VO64_0268 VO64_0709 VO64_2912 VO64_5382
K11901,PFF,PFLUOLIPICF708835 PFLUOLIPICF721260
K11901,PPZ,H045_06780 H045_20400
K11901,PMAN,OU5_3565
K11901,PTV,AA957_15035 AA957_27335 AA957_29295
K11901,PEN,PSEEN0523
K11901,PMY,Pmen_0090 Pmen_2322
K11901,PMK,MDS_0020
K11901,PSZ,PSTAB_4077
K11901,PSC,A458_00700
K11901,PSJ,PSJM300_03085
K11901,PSH,Psest_0133
K11901,PSTU,UIB01_00625
K11901,PSTT,CH92_03130
K11901,PBM,CL52_00990
K11901,PBA,PSEBR_a3316 PSEBR_a5558
K11901,PBC,CD58_12540 CD58_29065
K11901,PPUU,PputUW4_03090(tssB)
K11901,PDR,H681_03920 H681_14880
K11901,PRE,PCA10_01530
K11901,PSV,PVLB_09870
K11901,PSK,U771_15865 U771_18935 U771_31115
K11901,PKC,PKB_2793
K11901,PCH,EY04_18250 EY04_30120
K11901,PCZ,PCL1606_01080
K11901,PCP,JM49_00825 JM49_12845
K11901,PALK,PSAKL28_21050
K11901,PSW,LK03_04750 LK03_15810
K11901,PPV,NJ69_05085 NJ69_20380
K11901,PSES,PSCI_1906 PSCI_4587(impB) PSCI_5046
K11901,PSEM,TO66_31035
K11901,PSEC,CCOS191_2048 CCOS191_5047
K11901,AVN,Avin_26670 Avin_50800
K11901,AVL,AvCA_26670 AvCA_50800
K11901,AVD,AvCA6_26670 AvCA6_50800
K11901,ACB,A1S_1294
K11901,ABM,ABSDF2251
K11901,ABY,ABAYE2415
K11901,ABC,ACICU_01296
K11901,ABN,AB57_1479
K11901,ABB,ABBFA_002239
K11901,ABX,ABK1_1742
K11901,ABZ,ABZJ_01454
K11901,ABR,ABTJ_02414
K11901,ABD,ABTW07_1468
K11901,ABH,M3Q_1665
K11901,ABJ,BJAB07104_01459
K11901,ABAB,BJAB0715_01480
K11901,ABAJ,BJAB0868_01409
K11901,ABAZ,P795_10910
K11901,ABW,BL01_13275
K11901,ACC,BDGL_000639
K11901,ACD,AOLE_12265
K11901,ACI,ACIAD2691
K11901,SFR,Sfri_2369
K11901,SBB,Sbal175_2050
K11901,SWD,Swoo_2529
K11901,PSM,PSM_B0212
K11901,PSEO,OM33_07680
K11901,MAQ,Maqu_3733
K11901,MHC,MARHY3635
K11901,MAD,HP15_3476
K11901,MSR,AU15_06135
K11901,MARI,ACP86_07925
K11901,PIN,Ping_0011
K11901,PSY,PCNPT3_08465
K11901,MVS,MVIS_2826(mts2-N) MVIS_3029(mts1-N)
K11901,SDE,Sde_1529
K11901,TTU,TERTU_1657
K11901,SAGA,M5M_04435
K11901,MMT,Metme_0851
K11901,MAH,MEALZ_1931(sciH)
K11901,FTU,FTT_1359c(iglA1) FTT_1714c(iglA2)
K11901,FTQ,RO31_1588 RO31_2036
K11901,FTF,FTF1359c(iglA1) FTF1714c(iglA2)
